N,News Agency in English,News Agency in arabic,Main Category EN,Main Category AR,Sub Category En,Sub Category AR,Catergory en - internal only,Catergory ar - internal only,Category -EN,Category - AR,Platform -EN,Platform - AR,Media or Text - EN,Media or Text - AR,Hyper link,Urgency,rate from 1 - 5,status,Quality,Publish ?,license Owner,Manager,
1,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/22-%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
2,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/28-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%A9,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
3,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/25-%D8%A3%D9%85%D9%86-%D9%88%D9%85%D8%AD%D8%A7%D9%83%D9%85,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
4,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/3-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF,High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
5,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/17-%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A2%D8%B1%D8%A7%D8%A1,Medium ,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
6,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/64759-%D8%A7%D9%84%D9%82%D8%A8%D8%B3-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A,Medium ,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
7,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/7-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9,High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
8,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/playlist?list=PLsmKD0jvg8ur3616c3XizL_0cT70ZhrtM,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
9,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/playlist?list=PLsmKD0jvg8uoLgtEG2YTSJerE11LQcHGR,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
10,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/alqabas,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
11,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,Official News,أخبار رسمية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/official/,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
12,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/parliament/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
13,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,municipal council,أخبار المجلس البلدي,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/municipal-council/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
14,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,education,أخبار التربية والتعليم,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/education/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
15,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,health news,أخبار الصحة,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/health/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
16,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/incidents-issues/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
17,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,islamic news ,أخبار إسلامية وشرعية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/islamic-faith/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
18,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,Co-op Societies news,جمعيات تعاونية والمستهلك,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/kuwait-news/cooperatives/,Low ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
19,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,culture news,مجتمع وأنشطة,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/literature-and-culture/,Very Low,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
20,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/economy-news/,High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
21,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/sport-news/,High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
22,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/art-news/,High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
23,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://www.alanba.com.kw/ar/opinion/,Medium ,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
24,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Media news,أخبار ميديا,https://www.alanba.com.kw/anbavideo/,High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
25,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/alanba1976/videos,Very Low,2,active,low,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
26,alanba ,جريدة الأنباء,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/AlAnba_News_KW,Low ,5,active,low,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,content copied from website. 
27,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%AD%D9%84%D9%8A%D8%A9,Very High,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
28,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/morearticles/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9,High,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
29,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/morearticles/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF?pgno=1,High,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
30,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/morearticles/%D9%81%D9%86%D9%88%D9%86,Medium ,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
31,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/%D8%AC%D8%B1%D8%A7%D8%A6%D9%85,Medium ,5,active,high ,yes,,,
32,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%A9,Very High,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
33,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A3%D9%85%D9%86%D9%8A%D8%A9,Medium ,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
34,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,technology,أخبار التكنلوجيا,Website,موقع الكتروني,Text news,أخبار ,https://www.alraimedia.com/%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7,Low ,5,active,high ,yes,الراي,وليد جاسم عبدالقادر الجاسم,
35,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/AlraiTube/videos,Low ,2,active,low,yes,الراي,وليد جاسم عبدالقادر الجاسم,
36,Alrai,الراي,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/AlraiMediaGroup,Low ,2,active,low,yes,الراي,وليد جاسم عبدالقادر الجاسم,content copied from website. 
37,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/local,Very High,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
38,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/parliament,Very Low,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
39,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/issues,Low ,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
40,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/economy,High,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
41,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/sports,Medium ,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
42,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/fnon,Very Low,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
43,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,culture news,مجتمع وأنشطة,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/society,Very Low,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
44,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,http://alshahedkw.com/section/article,Very High,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
45,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/AlShahedTV/videos,Very High,5,active,high ,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
46,alshahed,الشاهد,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Text news,أخبار ,https://twitter.com/alshahednews,High,5,active,Medium,yes,موقع جريدة الشاهد الإلكتروني,صباح محمد صباح الصباح,
47,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/local/2022-06-28/,High,5,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
48,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/parliament/2022-06-28/,Low ,2,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
49,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,municipal council,أخبار المجلس البلدي,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/municipality/2022-06-28/,Low ,2,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
50,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/economy/2022-06-28/,Low ,2,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
51,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/sport/2022-06-28/,Low ,2,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
52,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,http://www.alsabahpress.com/articles/2022-06-28/,Low ,2,active,Medium,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,need to check how to get the news as url change in daily basis
53,alsabah,الصباح,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/AlsabahMedia,Very High,5,active,high ,yes,صحيفة الصباح,ابركات عوض هديبان الرشيدي,
54,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.annaharkw.com/Home/Articles?id=1bab2cbd-87b9-42d4-a3db-cc7527685dc5,Very High,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,
55,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,https://www.annaharkw.com/Home/Articles?id=411cd389-e85d-4613-b0e4-2e346f593056,Very High,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,
56,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار,https://www.annaharkw.com/Category.aspx?id=287,Medium ,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,
57,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار,https://www.annaharkw.com/Home/Articles?id=b4dc49bb-6808-4c32-8cbd-aae91f9b6f48,Medium ,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,
58,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/c/AnnaharTVnews/videos,Very High,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,
59,alnahar,النهار,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/naharkw,Very High,5,active,high ,yes,جريدة النهار,عبدالله قاسم احمد المجادي,some content copied from website. 
60,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/locals/,Very High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
61,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/parlement/,Very High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
62,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/economics/,High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
63,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/tawabel/,Medium ,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
64,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/sports/,High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
65,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/media/videos/,Low ,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
66,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://www.aljarida.com/channels/makalat/,High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
67,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/c/AljaridaTube/videos,Very High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,
68,aljarida,الجريدة ,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/aljarida,Very High,5,active,high ,yes,الجريدة,ناصر لافي سفر العتيبي,some content copied from website. 
69,alwasat,الوسط,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Website,موقع الكتروني,Text news,أخبار ,http://www.alwasat.com.kw/Category.aspx?catid=37,Very High,5,active,Medium,yes,الوسط,	تركي احمد منصور الانبعي,
70,alwasat,الوسط,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,http://www.alwasat.com.kw/Category.aspx?catid=3,Medium ,5,active,Medium,yes,الوسط,	تركي احمد منصور الانبعي,
71,alwasat,الوسط,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,http://www.alwasat.com.kw/Category.aspx?catid=4,Medium ,5,active,Medium,yes,الوسط,	تركي احمد منصور الانبعي,
72,alwasat,الوسط,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,http://www.alwasat.com.kw/Category.aspx?catid=19,Low ,5,active,Medium,yes,الوسط,	تركي احمد منصور الانبعي,
73,alwasat,الوسط,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/Alwasatkuwait,Very High,5,active,Medium,yes,الوسط,	تركي احمد منصور الانبعي,
74,7ssry,جريدة حصري نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://7ssry.com/category/%d9%85%d8%ad%d9%84%d9%8a%d8%a7%d8%aa,Low ,5,active,Medium,yes,,,
75,7ssry,جريدة حصري نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://7ssry.com/category/%d9%85%d8%ac%d9%84%d8%b3-%d8%a7%d9%84%d8%a3%d9%85%d8%a9,Low ,5,active,Medium,yes,,,
76,7ssry,جريدة حصري نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://7ssry.com/category/%d8%a3%d9%85%d9%86-%d9%88%d9%85%d8%ad%d8%a7%d9%83%d9%85,Low ,5,active,Medium,yes,,,
77,7ssry,جريدة حصري نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UC6uL8L8wlQXRklmng6PtX8g/videos,Medium ,3,active,high ,yes,,,
78,7ssry,جريدة حصري نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/7ssry,Very High,5,active,high ,yes,,,
79,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,http://www.seyassah.com/category/local/,Very High,5,active,medium,yes,	موقع جريدة السياسة,عبدالعزيز سعود رشيد الفضلي,
80,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,http://www.seyassah.com/category/economic/,High,5,active,medium,yes,	موقع جريدة السياسة,عبدالعزيز سعود رشيد الفضلي,
81,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,http://www.seyassah.com/category/allopinions/,High,5,active,medium,yes,	موقع جريدة السياسة,عبدالعزيز سعود رشيد الفضلي,
82,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار,http://www.seyassah.com/category/sports/,High,5,active,medium,yes,,,
83,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,http://www.seyassah.com/category/local/wishes/,High,5,active,medium,yes,,,
84,alseyassah,السياسة,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار,http://www.seyassah.com/category/diverse/technical/,High,5,active,medium,yes,,,
