N,News Agency in English,News Agency in arabic,Main Category EN,Main Category AR,Sub Category En,Sub Category AR,Catergory en - internal only,Catergory ar - internal only,Category -EN,Category - AR,Platform -EN,Platform - AR,Media or Text - EN,Media or Text - AR,Hyper link,Urgency,rate from 1 - 5,status,Quality,Publish ?,license Owner,Manager,
151,dasman news,	دسمان نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://dasmannews.com/category/%d8%a7%d9%84%d8%a3%d9%82%d8%aa%d8%b5%d8%a7%d8%af/,Medium ,3,active,medium,yes,	فهد خليفه غازي العازمي,ليلى فهد فيصل القحطاني,
152,dasman news,	دسمان نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://dasmannews.com/category/%d8%ad%d9%88%d8%a7%d8%af%d8%ab-%d9%88%d9%82%d8%b6%d8%a7%d9%8a%d8%a7/,Medium ,3,active,medium,yes,	فهد خليفه غازي العازمي,ليلى فهد فيصل القحطاني,
153,dasman news,	دسمان نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,parliament,أخبار مجلس الأمة,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCt9Ekcyjeh4ibSbLxbrJgHw/videos,Very High,5,active,high ,yes,	فهد خليفه غازي العازمي,ليلى فهد فيصل القحطاني,
154,dasman news,	دسمان نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/dasmannewscom,Medium ,3,active,low,yes,	فهد خليفه غازي العازمي,ليلى فهد فيصل القحطاني,
155,barq news,برق نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://www.barqnewskw.com/categorey/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA,Very High,5,active,low,yes,على حمدان زيد الديحاني,على حمدان زيد الديحاني,
156,barq news,برق نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://www.barqnewskw.com/categorey/%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF,High,4,active,low,yes,على حمدان زيد الديحاني,على حمدان زيد الديحاني,
157,barq news,برق نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/barqnewskw,Medium ,3,active,medium ,yes,على حمدان زيد الديحاني,على حمدان زيد الديحاني,
158, hawadeth news,الحوادث الاخبارية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/newswiri,Low ,2,active,high ,yes,حزام ماطر مجبل الشريكة,حزام ماطر مجبل الشريكة,
159,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA-1,High,4,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
160,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-2,Medium ,3,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
161,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-3,High,4,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
162,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D8%A3%D9%85%D9%86%D9%8A%D8%A7%D8%AA-5,Medium ,3,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
163,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-4,Medium ,3,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
164,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D9%85%D9%86%D9%88%D8%B9%D8%A7%D8%AA-7,Low ,2,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
165,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://hadathkw.net/Cat/%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-11,Medium ,3,active,medium,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
166,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,parliament,أخبار مجلس الأمة,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/hadathtube/videos,Low ,2,active,low,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
167,hadath ,	جريدة حدث الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Text news,أخبار ,https://twitter.com/hadathkw,Medium ,3,active,low,yes,طلال محمد لافي المطيري,طلال محمد لافي المطيري,
168,can news,كان الاخبارية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Text news,أخبار ,https://twitter.com/cannewskw,Very High,5,active,medium ,yes,نشمي عبدالله عايش الرشيدي,نشمي عبدالله عايش الرشيدي,
169,can news,كان الاخبارية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCN7c-H81m_btMs68P2jivEg/videos,Very Low,1,active,low,yes,نشمي عبدالله عايش الرشيدي,نشمي عبدالله عايش الرشيدي,
170,z8rty news,زقرتي نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/z8rty_news_q8,Very High,5,active,high ,yes,	فاطمة عبدالحميد موسى الفيلي,	فاطمة عبدالحميد موسى الفيلي,
171,pressALQ8,السلطة الرابعة,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/pressALQ8,Very High,5,active,medium ,yes,جاسم محمد صالح المطيري,جاسم محمد صالح المطيري,
172,25 feb news,	جريدة ٢٥ فبراير الالكترونية,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/25FebNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,High,4,active,medium ,yes,جون للدعاية والاعلان والنشر والتوزيع,	علي أحمد محمود مذكوري,
173,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://alkuwaityah.com/Cat/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA-1,Very High,5,active,high ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
174,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://alkuwaityah.com/Cat/%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-33,Very High,5,active,high ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
175,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://alkuwaityah.com/Cat/%D8%A5%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-4,High,4,active,high ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
176,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://alkuwaityah.com/Cat/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-5,High,4,active,high ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
177,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://alkuwaityah.com/Cat/%D9%85%D9%82%D8%A7%D9%84%D8%A7%D8%AA-32,Medium ,3,active,high ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
178,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/alkuwaityahnews/videos,Low ,2,active,low,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
179,alkuwaitia newspaper,	جريدة الكويتية,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف الكترونية,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/alkuwaityahnews,Medium ,3,active,medium ,yes,شركة الأوراق الكويتية للخدمات الاعلامية,زهير ابراهيم عبدالله العباد,
180,hedooo,هيدو,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,sport news,أخبار رياضية,Twitter,تويتر,Text news,أخبار ,https://twitter.com/hedooo1982,Very High,5,active,high ,yes,صلاح طامى فيصل المطيري,صلاح طامى فيصل المطيري,
181,Alrabe3a,الرابعة نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار ,https://twitter.com/Alrabe3a,High,4,active,medium ,yes,موسى ذيبان مطلق المطيري,موسى ذيبان مطلق المطيري,
182,bourashed,بوراشد نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://www.bourashed.com/category/%d9%85%d8%ad%d9%84%d9%8a%d8%a7%d8%aa/,Low ,3,active,high ,yes,ثامر صالح سعود الدخيل,ثامر صالح سعود الدخيل,
183,alwehda news,الوحدة نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://alwehdanews.com/main-category.php?Page_ID=VkZkak9WQlJQVDA9,Very High,5,active,medium,yes,خليل حبيب خليفه عريان,خليل حبيب خليفه عريان,
